State,Year,Month,Day,Rainfall (mm)
Johor,2015,4,30,0.00
Johor,2015,5,1,0.00
Johor,2015,5,2,0.02
Johor,2015,5,3,0.16
Johor,2015,5,4,0.83
Johor,2015,5,5,0.00
Johor,2015,5,6,0.00
Johor,2015,5,7,0.00
Johor,2015,5,8,0.02
Johor,2015,5,9,3.13
Johor,2015,5,10,24.77
Johor,2015,5,11,9.52
Johor,2015,5,12,5.65
Johor,2015,5,13,2.99
Johor,2015,5,14,1.29
Johor,2015,5,15,0.77
Johor,2015,5,16,1.66
Johor,2015,5,17,0.11
Johor,2015,5,18,0.00
Johor,2015,5,19,0.01
Johor,2015,5,20,0.00
Johor,2015,5,21,0.06
Johor,2015,5,22,5.15
Johor,2015,5,23,10.48
Johor,2015,5,24,0.67
Johor,2015,5,25,2.30
Johor,2015,5,26,10.12
Johor,2015,5,27,18.64
Johor,2015,5,28,40.75
Johor,2015,5,29,17.59
Johor,2015,5,30,41.42
Johor,2015,5,31,3.04
Johor,2015,6,1,0.32
Johor,2015,6,2,2.14
Johor,2015,6,3,5.19
Johor,2015,6,4,6.10
Johor,2015,6,5,11.40
Johor,2015,6,6,8.16
Johor,2015,6,7,7.05
Johor,2015,6,8,2.54
Johor,2015,6,9,1.27
Johor,2015,6,10,0.38
Johor,2015,6,11,0.00
Johor,2015,6,12,0.79
Johor,2015,6,13,0.43
Johor,2015,6,14,0.21
Johor,2015,6,15,0.15
Johor,2015,6,16,2.84
Johor,2015,6,17,1.30
Johor,2015,6,18,0.40
Johor,2015,6,19,3.43
Johor,2015,6,20,3.00
Johor,2015,6,21,10.44
Johor,2015,6,22,7.59
Johor,2015,6,23,13.91
Johor,2015,6,24,4.52
Johor,2015,6,25,0.26
Johor,2015,6,26,3.42
Johor,2015,6,27,3.87
Johor,2015,6,28,0.23
Johor,2015,6,29,12.51
Johor,2015,6,30,14.50
Johor,2015,7,1,12.75
Johor,2015,7,2,4.82
Johor,2015,7,3,0.94
Johor,2015,7,4,0.80
Johor,2015,7,5,0.12
Johor,2015,7,6,0.22
Johor,2015,7,7,0.06
